,title,review,rating,author,review_date
13,love these mini flashlights,Great deal for a pair of mini flashlights.  Very small and lightweight so very easy to throw in your purse to have just in case or around the house if the power goes out.  Fits in the palm of my hand.  Takes just one double AA battery.  Very bright and you can adjust to turn it even brighter.  Pictures I've taken below are in pitch black so you see how bright they are.,5,paintednightsky,2017-04-27
14,Very durable flashlights,These flashlights work really well. The are heavy duty metal so they feel like they will take some abuse and not break. They get very bright which is obviously what you want from a flashlight. You get 2 so its a good value for your money. I keep one in the car for emergencies and my husband has the other one. I think these will last a very long time.,5,Kelly,2017-04-06
15,"Not great, but worth the price.","These flashlights aren't as bright as I expected, but they work. I don't really like how each press of the power button cycles through the three settings (bright, dim, flashing). When I press the power, I expect it to always start on the bright setting, but it doesn't. It goes to whatever setting was next in the rotation. It's not a big deal, but it's a little annoying.I would give these 3 stars, but the good price point bumps it up to 4. I didn't pay much for these, so they're mostly worth the price. I have another small flashlight I much prefer, but it was also a lot more expensive.",4,Kris,2017-08-29
16,These flashlights are not actually 300lumens. They are not ...,"These flashlights are not actually 300lumens. They are not even 200 lumens. When compared to other 300 lumen and a 200 lumen flashlight I found that with new batteries at its highest setting folly zoomed in, was still visibly dimmer than the 200 lumen flashlight. I bought the two pack, and compared both to each other with both new alkaline and fully charged nickle-cadmium rechargeable batteries and found that they do not even match each other in brightness. They're inexpensive, and were the compact size I was looking for, but it seems you get what you pay for, and in this case you pay for under 200 lumens.",2,Matthew,2017-06-30
17,"Bright, well made. But wait for a sale to buy them.","Very well made aluminium tube and very bright. What more could you want? Well, maybe a bigger flashlight. These things are tiny but crank an amazing amount of light given their size. Good for car, purse or pocket. Or to clip on your belt. The ability to focus the beam from narrow to wide is a plus. Be sure to wait for the sales. Prices are all over the map on these things, from as little as $8 (for 2) to almost $30. A good deal at the lower price point.",4,DaytonaDan,2017-04-25
18,and the illumination is great for the size,"These are very small flashlights. They feel very solid though, and the illumination is great for the size. They easily clip inside the pocket of a pair of jeans and feel very similar to a clipped folding knife in my pocket. The housing at the end of the light slides in and out to adjust the beam, and there is a strobe setting on the light when you press the power button off and on again. Two lights come in the package. At first it seemed a little spendy for them when looking at their size, but as I have used it, and had it in my pocket, these are 20 times the light you get at a dollar store, or by spending less somewhere else. I bought 3 packs of 2. They have held up under the abuse my son's and friends dish out so far. And, they are very compact.",5,Amazon Customer,2017-01-06
19,compact and practical,"I always like to keep a small flashlight in my handbag in case of emergencies- you never know when an elevator will have a power outage or when you'll get stuck outside after dark. These are perfect for that purpose- they're lightweight enough yet comfortable to hold. I like that it comes in a pack of two, so I have a backup. The clip allows me to attach it to the pocket in my handbag for easy retrieval. And for a small flashlight, the LED light is strong, so I can see myself holding this for a long time in case of a power outage, unlike other powerful flashlights that are large, bulky and heavy.",5,electrolytz,2017-04-06
20,These work wonderfully well!,"We often need to head outdoors with no prior warning to deal with issues with the farm animals.  A bright, reliable flashlight that can slip into a pocket is a must for us.Shipping was fast with Amazon Prime and the packaging was excellent.  These flashlights did not come with batteries, but I had some on hand for the flashlights we already own.These flashlights are lightweight and very, very bright.  The adjustable beam allows us to search the woods quickly and then to pinpoint what we're searching for.  Most recently that was a wild raccoon who was tipping our waste cans and stealing food from the barn cats.The clips are strong, enabling us to ensure that the flashlights won't fall out of our pockets while we're working.I have absolutely no complaints and intend to buy these again!",5,WI Farm Family,2017-05-07
21,"Great light, rechargeable battery friendly","These are very lightweight and last forever on a single AA battery.I use them for evening strolls around (an increasingly dark as winter is upon us) set of streets and the flash mode make me very obvious to oncoming cars.Super lightweight, and built to last. I have been using them for months without an issue. They even work well with rechargeable batteries.One caution: Rechargeable batteries + LED's mean that when the power drops below the minimum the LEDs need, you will find that the light just stops working, unlike a bulb which dies slowly, this can cut off entirely. But keep a good charge and you won't be disappointed.",5,Mike M,2017-12-06
22,"Seemed high quality, power/selector button is flawed","These seem solid and good quality. However after using for one camping trip (right out of the box) the power button/mode selector on the flashlight has developed a short. It is indecisive on whether or not it will turn on at all when clicked, and the half click to change modes guarantees it shuts off and you're hard pressed to get it to turn back on again. I should have been thorough about putting these through the paces during the return window before trying to rely on them.",1,Bacon fan,2017-09-15
23,Best damn little 5 buck flashlight for EDC I like ...,"Best damn little 5 buck flashlight for EDC I like the nuts that are on the outside holding the clip on, several other types I've had used screws but screws require very small driver to tighten, these any pliers and your good to go again, the light with 1 AA gives almost as much as the NEBO Ihave that requires 3 AAAs strobe and multiple intensity beams all work very well. My only critique would be for a slightly less stiff clip it definitely stays on but requires an assist to clip on, or take out of pocket",5,Amazon Customer,2017-07-04
24,Great lights for a great price.,"These mini LED flashlights are perfect for my little ones to use while we are out camping. They are heavy duty yet light and water resistant so they can withstand the rain (it always rains while camping). With these you have the ability to focus and adjust the intensity of light. There are 3 different modes: high beam, low beam and flashing and it only takes one AA battery. My son loves the handy built-in clip; he can clip the flashlight to his pant pocket, on his shirt or where ever it fancies him. Only flaw to me is that the clip is quite stiff so it can be difficult trying to clip it on but it definitely stays in place. Overall, these are great, sturdy little lights for the money. You get alot of light from such a small flashlight.",5,FunMa of 3,2017-07-11
25,Absolute Garbage,I bought these  flashlights to keep in the glove box of both cars to use in case of an emergency.  They both failed only after using them several times.  The product is garbage and i threw both of them away.  Not even worth the hassle of packaging them back up to send back.  You get what you pay for I guess.,1,tj&mw67,2017-08-14
27,Looks can be deceiving,"At first I was going to give it 1 star....Upon opening my package, I see this tiny box. No way that's 1 flashlight, let alone 2. I open the tiny box and see 2 tiny flashlights. Great, I got ripped off. I put in a battery to try one out just for the hell of it. Was I wrong.....these tiny things are sweet. They pack as much light power as a bigger flashlight I have, which looks similar. These are great for BOB or EDC equipment. I might even buy a couple more.",5,Jago,2017-07-08
28,Delighted with this 6-pack of small,"Delighted with this 6-pack of small, VERY bright flashlights.Only minor quibble is that it's unclear when pressing the ""On"" button will turn on a solid light, versus turning on a rapidly-flashing light.(Apparently the flashing light - which may or may not come on - is to confuse all those terrible criminals that are trying to attack you ... 'cause, you know, you're so likely to face that ""tactical"" situation.)Other quibblette is that it'd be nice to be able to remove the pocket-clip (but it's attached with 2 unusual screws). On the other hand, if it was removed, then the flashlight would roll freely on any surface on which one might lay it - which would NOT be ""desirable"".  So, at least the pocket-clip keeps the otherwise completely round flashlight from rolling when layed-down.All in all, I LIKE 'em - a LOT!  :-)",5,Jim Warren,2017-09-26
29,"Great for the price, but not for your “main” light","Considering how little it costs for two of them, they are well built and very bright.  The issue is with the switch logic.  There is a single switch that turns it on/off (hard press) and changes the mode (half press).  The problem is that each time you turn it on, it switches to the next mode.  So if you are using it in “high” and turn it off, you will get “strobe” next time.  Not a deal breaker, but annoying.Again, great buy to throw in a drawer, but look elsewhere for something to carry every day.",4,Drew,2018-02-06
30,"Good, solid, small flashlights - great for camping","Great little flashlights for camping/hiking.  I kept one in my backpack for any emergency that might arise while hiking.  And the other in the car to use at my campsites.  I used the campsite flashlight EVERY night - it's small enough to comfortable fit in your pocket and bright enough to walk the dog and/or walk to the bathroom in near complete darkness and only had to replace the battery once.  The only complaint I have is that it seems to always rotate into strobe mode when I would turn it on - a little irritating, but not a deal breaker.",5,Leslie Jensen,2017-11-19
31,ONLY ONE WORKS LIKE IT SHOULD...,only one of the two i received works correctly.  one of them does the hi and lo and strobe.  the other one shines a light only.  china...,1,The End,2017-07-06
32,Outstanding buy for the price,"After a power outage, I decided we needed more flashlights available. The cheap 9 LED flashlights just didn't cut it and it was a lot of trouble having to insert three batteries into the flashlight cartridge. I have only tried out one Rockbird but the results were good. It isn't the most powerful flashlight around but it does the job. It puts out plenty of light and inserting one AA battery is very easy. For general use, it is a very good flashlight. My only con is that it is black and hard to find in the dark and in dark drawers. Wish I was able to get them in silver.",5,Able Devildog,2017-08-28
33,Very small but VERY bright I LOVE them!!!!,I love this set of 2 mini but very powerful flashlights I keep 1 in my purse and 1 in the drawer of my nightstand next to my bed for an emergency if the power ever goes out during a storm.  You can pull the top part up and down to make the light wider or smaller to fit the amount of light you need.  It also has a flashing light on it as well.  You can even clip the light to your pants belt clip that is on it. The LED bright light is perfect for helping you find your keys in the dark and also when walking at night time.  I will be getting me another set so my kids can have 1 for them to keep in they backpacks.,5,Mary H,2017-05-30
34,Crap!,Pure crap! They end up in garbage can two days after arrival. Very low quality.,1,Luis Rodriguez,2017-10-05
35,Rockbirds LED flashlight.,"Always, always need flashlights in our house and only LED ones.  The flashlight is bright, has a belt clip, fits perfectly in your hand and compact.  It has a caution mode, where the light blinks to let others know something is wrong. HOpefully no one will ever have to use that setting.  This flashlight being so compact is great for you need to look under cabinets and small spaces.  My husband used it for the lower compartment on his boat.",5,Darlene,2017-03-30
36,BE AWARE--NO RETURN,"I ordered these last week and after putting a battery in the first one thought it seemed like a good product, especially liking the small size.  I tried putting a battery in the second one and it will not close.  Apparently the grooves are stripped so it will not hold the end which secures the battery.  I tried to return and today discovered they are NOT ELIGIBLE FOR RETURN so I have one flashlight instead of two.  I am wondering how long this one will last.",1,Sandi,2017-09-02
37,"Super bright, compact and a great value","I didn't expect that the mini flashlights would be as powerful as they are. They're great to keep in your toolbox, glovebox or purse. Also great to keep in a kitchen drawer for power outages, just in case.At just over 3.5"" long they emit a super strong beam of LED light. They are really solid and have a nice weight to them. Two AA batteries (not included) is all it takes to operate them both. I'm going to keep one in the car and use one for camping.Since they're water-resistant I can bring it out on the kayak for those evening paddles and I won't have to worry about the flashlight getting splashed.",5,GC Gallagher,2017-04-10
38,A nice LED (small) flashlight!,"I purchased the LED Flashlight by Rockbirds because I wanted a flashlight I could easily put into the center console of my Jeep. This flashlight is perfect because it is small enough to fit just about anywhere that you want to put a flashlight. You could carry this in your purse, your vehicle, it even has a clip for a belt. Just remember, batteries are not included. So you will need two AA batteries. I am pleased with this purchase. :-)",5,Kristi Fahlsing,2017-03-05
39,Nice and Compact,"I ordered these because of their size. They fit nicely and discreetly into my purse and I can take it to go in case I need it.These flashlights are nice and bright, perfect for emergency situations or power outages. I don't like having huge bulky flashlights in my tiny apartment. They really take up way too much space. These are well built, strong and will last a long time. Really happy to have found these.",5,Shieldmaiden Mist,2017-04-15
40,Two nice sturdy LED flashlights,I ordered my Rockbird led Flashlight thinking i was getting one. I am so surprised at the fact I recieved two. These by the way came so fast by prime. They didnt come with batteries so i loaded them today. Woot hoo. they are bright exactly what I aspected with LED. Nice and small fit so comfortly in my hand as a women the are about the size of my palm. I am totally keeping one of these in my kitchen and one in my SUV. Totally never know when its needed. Has a screw off top to change batteries as well as a nice sturdy clip to hold onto stuff. These Rock! Thank you again for the great Deal.,5,MS.Dimas,2017-04-04
41,Do Not Buy!!!!  Very Poor Quality & short lifespan!,"What a waste of money! These things looked like they'd be great, and I liked the adjustability of the beam angle. But they both stopped working within 1 week of being used. I've had lower quality cheaper crap from the dollar store last longer than these! I only rated them 1 star because there isnt an option for ZERO stars or even negative stars!",1,Cane Corso,2017-12-22
45,"Well-made, bright, and good deal.","Wow.  Nicely made.  Work very well with Li Ion 14500 batteries as well as with AA alkaline (of course dimmer).  Not hard to get used to the (stupid) inclusion of Strobe Mode.  They automatically cycle from mode to mode each time you turn them off/on with the tail switch.  Hint to make your life easier (such as it is): When (not if) it turns on automatically (every third time) in strobe mode, just gently push down slightly once or twice on the switch to make it cycle between modes to get what you want.  Instead of ""jumping up and down, screaming and shouting"", just think ZEN thoughts (Ooooommmm.  All is beauty) and gently depress the switch.And think of the amazingness of this: A bright (and cheap and well-made) LED flashlight that operates on one lousy battery at 1 1/2 volts (yes, even cheap light ""heavy duty"" non-alkalines) or an NiMH rechargeable at 1.35 volts and yet is still not destroyed by 3.7 volt Li Ion's.  Would I be as enthusiastic if I'd not got them on sale at 6.99?  Well, maybe a little less because the competition in quantity goes for about $3 to $4 per, and if I buy 5 or 6, I'd be giving away a few to friends and that would be even more fun.One little nit-picky thing: the ""Two Fluorescent Rings Which Shine in the Dark Night"" (not fluorescent but phosphorescent) the ""rings"" seem to be just those (cheap) little silicone rubber bands sold in handi-craft stores that are woven together (mainly by younger people, it seems) to make rings and bracelets.  Yeah, some of those are sold as glow-in-the-dark.  My point is that after a few minutes in the dark, I've seen matches brighter than these -yeah UNLIT matches!One more thing - if you use 14500 Li Ion batteries: EBL 14500 Li-ion Rechargeable Batteries 3.7V 800mAh for LED Flashlight Torch, 8 Packs most of these are what is called ""unprotected"".  In this case, it means if their voltage goes down in the flashlight, they are probably going to be damaged and may never again be able to be charged to full capacity - or at all.  So this is my suggestion: if the ""bulb"" starts dimming or shuts off by itself: immediately open the flashlight and take out the battery.  That way the flashlight cannot draw down its voltage any more.  Since there's no circuit to protect your battery, you have to do it.  This should help you protect your investment and continue to give you the nice bright light these batteries give with these flashlights.",5,James G. Demian,2018-04-10
48,Great little flashlights,This set of two flashlights are a great deal in my opinion.  I gave my husband one to use in his tow truck and one stays in the house for me. These flashlights are very bright and you can adjust the scope of the light from a large area to a precise close area. I use my flashlight in the house to check on eggs in an incubator so I pull the top of the flashlight out to narrow the scope. It is plenty bright for me to see the babies in the eggs. My husband has used his for lots of things in the tow truck. It is great for lots of jobs since it has adjustable lighting. It's also easy for him to keep on himself with the metal clip and non-slip grip.  I like that they are made with aluminium so they are lightweight and durable. So far they show no wear and tear even though we are constantly using them.,5,Erin Stubbs,2017-03-10
49,"Obnoxious strobe/flashing mode you can't avoid, but decent flashlight.","FYI, to get it to switch modes, you turn it of then on again and it switches.  It goes from (1) bright --> (2) Dimmer --> (3) Flashing.The flashing is obnoxious.  I wish I could get rid of that.  I see no need for that in my life or 99% of anyone who buys this thing.  It just threatens you with a seizure as you try to quickly switch it off and on to a different mode.But the light is fairly bright.  No big complaints with how it works when it's just on and working.",4,Trogdor,2018-04-08
50,Small but bright,"Very bright, well made, I like that it only uses one battery.  Small enough to fit in my pocket.  I use it for dog walks at night.  It lights up the ground very well and has a decent light projection for being so some.  It was a very good buy.",5,Zero,2017-08-19
51,Great Little Flashlights,Totally worth the price. Much brighter than the LED flashlights you buy at the checkout counter for the same price and this needs just 1aa battery rather than 3aaa like the checkout counter models.  These are tiny -FYI.  They fit in your palm so don't expect something bigger.  Great little lights.  I bought 2 just to check them out. Now I'll order the six pack and stash them all over.Just ordered 4 more. They arrived and work great.,5,Greg D.,2017-07-06
52,Piece of Crap - Don't Buy,"I wasn't able to open one of them to insert a battery.  Very poor design with the battery portal being combined with a light adjustment feature at the top.  It just turns and turns as though the battery portal is stripped. What a piece a crap!! It was a waste of time trying to open it and an even bigger waste of money!! In addition, the strobe function should work off an exterior switch that can be activated when the light is on. Not when you turn it off and then turn it back on only to have a useless strobe function activated.  That requires you to turn off the light again and turn it back on just to activate its normal function.  One agitated customer!",1,Amazon Customer,2017-05-12
53,"Besides metal casing, lower quality than Harbor Freight $2 LED flashlights","So I was hoping for a durable metal flashlight that had better than average candle power. What I got was essentially a $3 flashlight with a metal casing.First impressions were it was alittle lighter than I imagined.The light was not even that bright. I dug out a $1.99 Harbor Freight LED flashlight and compared the 2 on my basement wall. The H Freight one out shined the Rockbird one easily. Not terrible enough to junk or return, a small metal casing flashlight could come in handy.But when I need a bright light, I wont be reaching for this",2,Cogito ErgOsUm,2017-10-06
55,I am very happy I purchased the Rockbirds LED Flashlights,"I am very happy I purchased the Rockbirds LED Flashlights.  They are the perfect size for your purse, pocket, fanny pack or to store in the door of your car.  They are easy to use and very bright. They come in a pack of two. I put one in my Jeep and the other in my husbands truck.  I have used mine every time I have come home at night and needed to light my way to the door.  I highly recommend these flashlights.",5,Kindle Customer,2017-03-20
56,Small but powerful flashlight.,I bought these for my son and his friend to take camping on a school trip. They came in really handy because they got caught in the rain while hiking at night and these worked the entire time (almost one hour) until they got back to their campsite. They are small enough to fit in his jacket pocket so he was the only one to have one with him beside the counselor. We have them in a drawer in our kitchen in case the building loses power and it does all summer so they will come in handy. They are very bright and I would not expect that from such a small flashlight.,5,MsT,2017-05-12
57,Very practical product.,I'm really glad I got these.  I keep one in the kitchen (for finding equipment in all the dark corners of cabinets) and one next to the attic door (I'm afraid I use the attic as kind of an extended storage closet).  They're very bright and I particularly like the ability to broaden or narrow the beam.  They're generally all-around handy for those of us with poor vision who need an extra boost of light at times.  They're also great for finding a pet that's hiding from you because it doesn't want it's medicine.,5,J. B. Dian,2017-09-20
58,im shocked,"it is a bright,durable and cheap little light perfect for camping and the like.  i even used as an ice hammer when i forgot to close the lid on my ice chest and the top layer froze solid.  still works btw",5,Charles P. Mcalpin,2017-08-24
59,DONT BUY!!!,Don't buy these little flashlights. When I got them one of the button on the back of the flashlight doesn't work and this product did not allow returns.,1,keith owens,2017-08-29
60,Don't work,They don't work.  I bought them for a trip and they don't work.  What a waste of money,1,MHSOCAL,2017-07-28
61,Got both light and was excited about them (from the ...,Got both light and was excited about them (from the description) one would not hold batteries because the threads were stripped. The other would not zoom/focus light the description stated it could 🤦🏻‍♂️ Very disappointing to say the least,1,George Morales,2017-07-26
65,Surprising!,"The switch button on the end operates easily, but not so easily as to come on when, say, searching for my keys and being dead the next day.I like the single AA battery.I like the compact size. It's bright for its size-and this goes to the one thing I disliked: one photo shows this lite brightly illuminating both sides of a sidewalk. This doesn't quite do that. That overstatement is what gets this 4 stars instead of 5 from me. I got over that quickly. Ounce for ounce, this unit pulls its weight.",4,James R Anderson,2017-11-24
66,Great range for a small package,We were looking for a decent flashlight for outdoor use - primary in the back yard to spot the pets or other critters.  I took a shot at these since they were on sale. They arrived and we kinda laughed thinking they wouldn't do the job.We were wrong.  Our back yard goes back 80 feet or so.  This thing lights it up in spot mode or the more open mode.  It's great.  I'll be picking up a couple more.,5,Gene H.,2018-04-11
67,Good on batteries,"These came in handy during Hurricane Irma. We live in Orlando, we lost power around midnight. These got us through that night. We eventually had to leave our home, No power for 7 days.But these little suckers were Very illuminating, Good on batteries, small but mighty. I bought one for each of my kids. It kept them entertained as the storm passed over us. We were able to play board games & cards games all night with these as our light.",5,Suki,2018-03-28
69,Rip off,This didn't work at all when I got them and they didn't refund me the price I paid🙃😐,1,Candace Lovett,2017-07-06
70,Bright and perfect size,This set of two flashlights is a great deal. I bought these so I would have one for my purse and an extra around the house. They are super small and compact but brighter than most flashlights. Small and only takes up about as much room as some lip glosses.I love that it only takes one AA to function. These flashlights are great to keep around.,5,sh,2017-05-28
72,"the quality is also very good, the light is very bright","This is a small iron flashlight, it is very convenient to carry, the quality is also very good, the light is very bright, the lamp head part can also adjust the length of the light, and it is two equipment, cheap and affordable, I like it!",5,JiaHui Chen,2018-04-07
73,I really like that you can pin point the light as well,These are much brighter than I thought they would be. Its a must if you live in back in the woods. They will be used for alot more than taking the pups out at night. I really like that you can pin point the light as well. Makes for trying to seeing certain things much better. What is great about this is I get one and my husband gets one. Great purchase.,5,jmbillet,2017-04-08
74,"Small, Bright, Durable Flashlight","I liked these so well that I gave them out as stocking stuffers to out family. They're built well, look nice, are plenty bright and small enough to have on hand or carry wherever you go. If you need a great little, durable flashlight, you can't go wrong with these. Highly recommended for sportsman and women of all activities, kids and folks in general looking for a small, bright, portable flashlight.",5,Jeff Dreyfous,2018-02-11
75,One Star,The flashlights were defective when received.  One could not be opened to insert a battery.  Cheap and unreliable.,1,reb,2017-06-25
76,"lightweight,good for group camping","I got the 4 pack camping lights the other day.I love them much as they are lightweight and practical.The lights are strong and have zoom in and out.3 light modes: strong,SOS,weak.and it has a clip that is sweet.and the price is so reasonable.We need more than 1 flashlight and buying 4 pack is saving some dollars.thanks!",5,Chris,2017-05-10
77,A Golden Pair of Mini Flashlights - YOU HAVE TO CHECK THESE OUT!!!,"I absolutely LOVE these mini flashlights. They illuminate so much more than one might expect from a device this size and fit cozily in your pocket, in a desk organizer, etc. You never know when you're going to need to light up under your bed, behind a large appliance or the sidewalk out to your garbage cans early in the morning. The monetary trade off is ridiculous with regards to what you get for your hard earned cash. They rest comfortably in the palm of your hand with intuitive motions to light up. Only thing I can't for the life of me figure out is why there's a strobe setting,  but that's just me maybe needing a clue as to a real world application. That said, I am in no way affiliated with this company nor do I foresee any financial compensation for a glowing review. I would have been stoked receiving just one of these flashlights but getting two? i say see for yourself, you won't be disappointed!!",5,Martoman,2018-04-08
78,Great but be Careful of Quality!,"I'd gotten these previously and it was time to get a few more.I was happy with the initial batch but while they're intelligently designed, the quality of the last batch I got wasn't great. 2 of the 4 didn't function properly. Though I will say the price is pretty exceptional.",3,Johnny S.,2017-09-17
79,Nice Little Light - Good Value,"For the money - these are very good little flashlights.  Slightly bulky to carry in a pants pocket.  Easy to carry in a purse, pack, coat pocket, or car.  I use these with the mini butterball 14500 batteries.  The total cost for the flashlights, batteries, and charger is about $20 for two.  I like the strobe mode for use as an emergency signal.  My only ""beef"" with the flashlight industry in general is the black color.  Seriously?  The point of a flashlight is to improve visibility in the darkness.  Try finding a jet black flashlight during a power outage!  Flashlights should be neon yellow or orange.  I don't care what they look like.  I want something I can easily find and use.  Please stop making black colored flashlights or provide options.",4,Robert,2017-10-08
81,Great value,"This is a small compact flashlight with a bright light, I have found it to be handy for lots of little things and big ones like flipping the fuse box. The only downside is I hate the strobe light because it hurts my eyes and you have to see the strobe in order to turn the flashlight off. The other downside is the flashlight has a lot of blue.",4,Harbinger of books,2018-03-30
